date,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
2022-01-01,32,619111,3544,22292179,223.039,"10,327.662",0.024
2022-01-02,41,619152,2446,22294625,223.046,"10,328.280",0.024
2022-01-03,72,619224,12299,22306924,223.147,"10,332.377",0.024
2022-01-04,182,619406,18944,22325868,223.135,"10,340.963",0.024
2022-01-05,127,619533,28401,22354269,223.279,"10,355.954",0.024
2022-01-06,174,619707,46665,22400934,223.311,"10,385.220",0.024
2022-01-07,146,619853,53348,22454282,223.380,"10,411.453",0.024
2022-01-08,96,619949,48754,22503036,223.417,"10,437.284",0.024
2022-01-09,49,619998,24437,22527473,223.424,"10,447.261",0.024
2022-01-10,119,620117,34675,22562148,223.414,"10,463.866",0.024
2022-01-11,135,620252,73960,22636108,223.530,"10,500.567",0.024
2022-01-12,139,620391,89046,22725154,223.577,"10,545.035",0.024
2022-01-13,196,620587,97228,22822382,223.657,"10,600.313",0.023
2022-01-14,231,620818,108666,22931048,223.720,"10,660.689",0.023
2022-01-15,164,620982,47948,22978996,223.781,"10,689.963",0.023
2022-01-16,99,621081,34468,23013464,223.744,"10,698.209",0.023
2022-01-17,166,621247,77181,23090645,223.871,"10,737.724",0.023
2022-01-18,312,621559,133249,23223894,223.994,"10,813.478",0.023
2022-01-19,322,621881,203716,23427610,224.148,"10,915.105",0.023
2022-01-20,352,622233,169885,23597495,224.282,"11,011.589",0.023
2022-01-21,398,622631,172596,23770091,224.437,"11,105.257",0.023
2022-01-22,310,622941,162397,23932488,224.556,"11,193.556",0.023
2022-01-23,191,623132,120300,24052788,224.631,"11,254.009",0.023
2022-01-24,270,623402,93749,24146537,224.782,"11,292.566",0.022
2022-01-25,485,623887,201679,24348216,224.949,"11,403.463",0.022
2022-01-26,603,624490,218903,24567119,225.223,"11,537.343",0.022
2022-01-27,683,625173,230283,24797402,225.473,"11,665.556",0.022
2022-01-28,763,625936,259449,25056851,225.809,"11,814.763",0.022
2022-01-29,694,626630,200030,25256881,226.026,"11,925.247",0.022
2022-01-30,274,626904,103379,25360260,226.194,"11,979.655",0.022
2022-01-31,482,627386,109380,25469640,226.329,"12,013.662",0.021
2022-02-01,750,628136,168059,25637699,226.717,"12,128.921",0.021
2022-02-02,940,629076,188478,25826177,227.101,"12,236.076",0.021
2022-02-03,997,630073,285396,26111573,227.538,"12,423.746",0.021
2022-02-04,968,631041,219433,26331006,227.817,"12,549.838",0.021
2022-02-05,804,631845,151143,26482149,228.279,"12,662.071",0.021
2022-02-06,447,632292,63437,26545586,228.436,"12,693.678",0.021
2022-02-07,415,632707,72228,26617814,228.686,"12,728.610",0.021
2022-02-08,1197,633904,180552,26798366,229.255,"12,839.374",0.021
2022-02-09,1287,635191,177366,26975732,229.712,"12,959.740",0.021
2022-02-10,925,636116,164157,27139889,230.082,"13,068.776",0.020
2022-02-11,1116,637232,161750,27301639,230.551,"13,178.020",0.020
2022-02-12,866,638098,133158,27434797,230.870,"13,270.773",0.020
2022-02-13,342,638440,55623,27490420,230.984,"13,298.592",0.020
2022-02-14,493,638933,64760,27555180,231.234,"13,332.228",0.020
2022-02-15,915,639848,123801,27678981,231.633,"13,420.437",0.020
2022-02-16,1033,640881,144219,27823200,232.094,"13,542.883",0.020
2022-02-17,1108,641989,129525,27952725,232.569,"13,629.536",0.020
2022-02-18,1118,643107,120132,28072857,233.002,"13,709.796",0.020
2022-02-19,836,643943,103715,28176572,233.312,"13,777.796",0.020
2022-02-20,399,644342,38641,28215213,233.489,"13,795.694",0.020
2022-02-21,343,644685,43843,28259056,233.673,"13,812.583",0.020
2022-02-22,804,645489,102562,28361618,234.022,"13,887.384",0.020
2022-02-23,985,646474,130812,28492430,234.506,"13,965.028",0.020
2022-02-24,983,647457,96440,28588870,234.894,"14,021.937",0.020
2022-02-25,798,648255,88790,28677660,235.206,"14,077.450",0.020
2022-02-26,708,648963,72842,28750502,235.486,"14,124.459",0.020
2022-02-27,215,649178,22137,28772639,235.582,"14,133.247",0.020
2022-02-28,238,649416,19952,28792591,235.577,"14,140.026",0.019
2022-03-01,278,649694,22415,28815006,235.669,"14,151.113",0.019
2022-03-02,346,650040,30135,28845141,235.943,"14,166.092",0.019
2022-03-03,587,650627,65544,28910685,236.133,"14,204.590",0.019
2022-03-04,694,651321,70259,28980944,236.554,"14,251.345",0.019
2022-03-05,633,651954,55130,29036074,237.813,"14,353.180",0.019
2022-03-06,214,652168,16161,29052235,236.850,"14,297.834",0.019
2022-03-07,220,652388,21854,29074089,236.932,"14,307.717",0.019
2022-03-08,492,652880,75132,29149221,237.132,"14,349.040",0.019
2022-03-09,678,653558,50348,29199569,237.399,"14,383.991",0.019
2022-03-10,565,654123,57006,29256575,237.661,"14,414.708",0.019
2022-03-11,456,654579,53422,29309997,237.883,"14,440.370",0.019
2022-03-12,384,654963,45788,29355785,238.035,"14,462.122",0.019
2022-03-13,138,655101,14553,29370338,238.075,"14,469.436",0.019
2022-03-14,185,655286,16841,29387179,238.176,"14,474.751",0.019
2022-03-15,328,655614,50167,29437346,238.322,"14,502.748",0.019
2022-03-16,356,655970,50575,29487921,238.439,"14,527.103",0.019
2022-03-17,477,656447,45541,29533462,238.588,"14,555.803",0.019
2022-03-18,382,656829,47972,29581434,238.714,"14,579.371",0.019
2022-03-19,285,657114,38188,29619622,238.827,"14,601.481",0.019
2022-03-20,106,657220,13062,29632684,238.875,"14,604.659",0.019
2022-03-21,102,657322,13412,29646096,238.909,"14,608.851",0.019
2022-03-22,411,657733,41398,29687494,239.001,"14,630.609",0.019
2022-03-23,283,658016,46247,29733741,239.139,"14,656.605",0.019
2022-03-24,308,658324,37278,29771019,239.351,"14,673.643",0.019
2022-03-25,257,658581,33996,29805015,239.448,"14,688.504",0.019
2022-03-26,192,658773,28303,29833318,239.512,"14,700.100",0.019
2022-03-27,107,658880,9937,29843255,239.546,"14,702.173",0.019
2022-03-28,76,658956,9086,29852341,239.568,"14,705.067",0.019
2022-03-29,285,659241,30056,29882397,239.585,"14,717.646",0.019
2022-03-30,263,659504,33937,29916334,239.684,"14,732.576",0.019
2022-03-31,253,659757,31561,29947895,239.882,"14,744.609",0.019
2022-04-01,245,660002,27270,29975165,239.944,"14,753.099",0.019
2022-04-02,106,660108,17062,29992227,240.091,"14,760.086",0.019
2022-04-03,39,660147,7210,29999437,240.011,"14,762.339",0.019
2022-04-04,165,660312,13361,30012798,240.165,"14,765.613",0.019
