date,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
2022-01-31,8307,19279593,3181005,725226807,224.171,"10,909.293",0.023
2022-02-28,22030,17907111,3322951,770862941,231.511,"13,336.025",0.020
2022-03-31,10341,20322963,1155304,912954212,238.247,"14,505.092",0.019
2022-04-30,3740,19854211,500341,906788222,243.269,"15,042.550",0.019
2022-05-31,3179,20616875,570802,951993549,246.661,"15,421.013",0.019
2022-06-30,4740,20062634,1338980,949003237,243.699,"15,559.811",0.019
2022-07-31,7098,20929725,1475882,1029196960,246.583,"16,419.249",0.018
2022-08-31,5451,21131418,595953,1059802180,249.566,"16,949.200",0.018
2022-09-30,2071,20555477,242671,1036917908,250.998,"17,121.149",0.018
2022-10-31,2121,21304378,156225,1077397148,251.629,"17,180.873",0.017
2022-11-30,1644,20665708,437410,1049511180,252.230,"17,240.749",0.017
2022-12-31,4052,21444005,1065122,1110597402,253.586,"17,644.864",0.017
